"Рег. номер cертификата соответствия (СС)","Номер бланка","Заявитель","Юридический адрес заявителя","Контакты заявителя","Изготовитель","Юридический адрес изготовителя","Контакты изготовителя","Наименование продукции","Датавыдачи СС","Дата окончания действия СС","Класс","Схема","Органпосертификации","ЦОС","Примечание"
"ОГН3.KZ.1108.B00360","П04140; ПП 03287","Общество с ограниченной ответственностью Торговый дом КейЭсПи Стил»","Российская Федерация, 117105, г. Москва, Новоданиловская набережная, д.6, пом.XXXVIII, ком. 1-3","+7(495)228-48-01; info@td-kspsteel.ru","Товарищество с ограниченной ответственностью KSP Steel» (КейЭсПи Стил»)","Республика Казахстан, 140000, г. Павлодар, ул. Майры 39/1, 43","+7(7182)73-87-00; office@pf.ksp-steel.kz","Трубы бесшовные для газопроводов, газлифтных систем добычи и оборудования газовых месторождений (шифр группы однородной продукции ТБГ, подгруппы ТБГ-1 и ТБГ-2), изготавливаемые по ТУ 24.20.13.110-001-070140004107-2020 c изменениием №1, серийный выпуск","23.03.2023","18.05.2024","Id","1d","ОС НТФ СЦ КОНТСТАНД», рег. № ОГН3.RU.1108 (НТФ СЦ КОНТСТАНД»)","Трубная продукция","Выпущен в замен  сертификата № ОГН3.KZ.1103.B00216 от 19.05.2021"
"ОГН3.RU.1108.B00366","П04281; ПП 03417","Акционерное общество Сварочно-монтажный трест» (АО СМТ»)","Российская Федерация, 129090, г. Москва, Астраханский пер., д. 17/27, стр. 2","+7(495)608-69-64; 608-92-14; smt@svartr.ru","Акционерное общество Сварочно-монтажный трест» (АО СМТ»)","Российская Федерация, 129090, г. Москва, Астраханский пер., д. 17/27, стр. 2","+7(495)608-69-64; 608-92-14; smt@svartr.ru","Отводы, изготовленные методом холодной гибки труб (шифр группы однородной продукции СДТО-1), изготавливаемые по ГОСТ 24950-2019, серийный выпуск","16.06.2023","15.06.2026","IId","2d","ОС НТФ СЦ КОНТСТАНД», рег. № ОГН3.RU.1108 (НТФ СЦ КОНТСТАНД»)","Трубная продукция",""
"ОГН3.RU.1108.B00367","П04282; ПП 03418","Акционерное общество Загорский трубный завод» (АО ЗТЗ»)","Российская Федерация, 141320, Московская обл., г. Сергиев Посад, г. Пересвет,  ул. Бабушкина, д.9","+7(495)988-06-86; ztz@z-t-z.ru","Акционерное общество Загорский трубный завод» (АО ЗТЗ»)","Российская Федерация, 141320, Московская обл., г. Сергиев Посад, г. Пересвет,  ул. Бабушкина, д.9","+7(495)988-06-86; ztz@z-t-z.ru","Трубы стальные электросварные прямошовные, предназначенные для строительства, реконструкции и капитального ремонта магистральных трубопроводов  на рабочее давление до 10 МПа включительно (шифр группы однородной продукции ТЭСП-2), изготавливаемые по ТУ 1381-032-85736056-2016  изм. №№ 1 - 4, ТУ 24.20.21.000-037-85736056-2017 изм. №1, 2 серийный выпуск","27.06.2023","26.06.2026","Ia","1a","ОС НТФ СЦ КОНТСТАНД», рег. № ОГН3.RU.1108 (НТФ СЦ КОНТСТАНД»)","Трубная продукция",""
"ОГН3.RU.1108.B00372","П04349; ПП 03485","Акционерное общество ТВЭЛ-Тобольск» (АО ТВЭЛ-Тобольск»)","Российская Федерация, 626158, Тюменская область, г. Тобольск, 9-й микрорайон, дом 28А, офис 30","+7(3456)25-59-59; tobolsk@tvel.com","Акционерное общество ТВЭЛ-Тобольск» (АО ТВЭЛ-Тобольск»)","Российская Федерация, 626158, Тюменская область, г. Тобольск, 9-й микрорайон, дом 28А, офис 30","+7(3456)25-59-59; tobolsk@tvel.com","Трубы стальные с наружным трехслойным антикоррозионным полиэтиленовым покрытием (шифр подгруппы однородной продукции Т-НАКП), изготавливаемые по ТУ 1390-027-74747996-2016 с изменениями № 1, №2, серийный выпуск","28.07.2023","12.12.2024","Ib","1b","ОС НТФ СЦ КОНТСТАНД», рег. № ОГН3.RU.1108 (НТФ СЦ КОНТСТАНД»)","Трубная продукция","Выпушен взамен сертификата № ОГН3.RU.1103.B00274 от 13.12.2021"
"ОГН4.RU.1101.A00368","П00728; ПП 00088; ПП 00089; ПП 00090","Акционерное общество Благовещенский арматурный завод»","Российская Федерация, 453430, Республика Башкорстан, г. Благовещенск, ул. Седова, д.1","+7(34766)2-13-78; 2-12-30; baz@omk.ru","Акционерное общество Благовещенский арматурный завод»","Российская Федерация, 453430, Республика Башкорстан, г. Благовещенск, ул. Седова, д.1","+7(34766)2-13-78; 2-12-30; baz@omk.ru","Краны шаровые DN 50 – 250; PN 1,6 - 6,3 МПа в комплекте с электроприводами AUMA типоряда SAEx/SAREx и типоряда SQEx, с пневматическими приводами Rotork, c ручным приводом (редуктором) по ТУ 3742-022-07533604-2014. Партия 144 шт., договор на поставку №008/2018 от 12.03.2018, приложение № 1 к договору №008/2018 от 12.03.2018","25.01.2019","","3е","3е","ОС Ассоциация по сертификации Русский Регистр», рег. № ОГН4.RU.1101 (АС Русский Регистр»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства",""
"ОГН4.RU.1101.B00855","П01284; ПП 00721; ПП 00722","Общество с ограниченной ответственностью Завод Газпроммаш» (ООО Завод Газпроммаш»)","Российская Федерация, 410031, Саратовская область, г. Саратов, ул. Московская, д. 44.","+7(8452)98-56-00; 96-13-37; gpm@gazprommash.ru","Общество с ограниченной ответственностью Завод Газпроммаш» (ООО Завод Газпроммаш»)","Российская Федерация, 410031, Саратовская область, г. Саратов, ул. Московская, д. 44.","+7(8452)98-56-00; 96-13-37; gpm@gazprommash.ru","ТИП ПРОДУКЦИИ – Станции газораспределительные блочные ГРС Газпроммаш», изготавливаемые по ТУ 3696-037-36214188-2008 с изм. 1?7","17.11.2020","16.11.2023","","СМК+","ОС Ассоциация по сертификации Русский Регистр», рег. № ОГН4.RU.1101 (АС Русский Регистр»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства","Действует. Решение о подтверждении действия СС № 21.0026.31 от 05.04.2023 г."
"ОГН4.RU.1101.B00940","П01299;","Общество с ограниченной ответственностью Завод Газпроммаш» (ООО Завод Газпроммаш»)","Российская Федерация, 410031, Саратовская область, г. Саратов, ул. Московская, д. 44.","+7(8452)98-56-00; 96-13-37; gpm@gazprommash.ru","Общество с ограниченной ответственностью Завод Газпроммаш» (ООО Завод Газпроммаш»)","Российская Федерация, 410031, Саратовская область, г. Саратов, ул. Московская, д. 44.","+7(8452)98-56-00; 96-13-37; gpm@gazprommash.ru","Фильтры-сепараторы газовые ГПМ-ФС, предназначенные для использования в системах газораспределения для очистки (очистки и подогрева для исполнения ФС-(ПГ)) природного газа по СТО Газпром 089-2010, нефтяного или искусственного газа, не содержащего агрессивных примесей, при его добыче и транспортировке, в составе газораспределительных и компрессорных станций, узлах учета и редуцирования от капельной жидкости и механических примесей, ТУ 3683-083-36214188-2013 с изменениями 1-6, серийный выпуск.","19.01.2021","18.01.2024","1а","1а","ОС Ассоциация по сертификации Русский Регистр», рег. № ОГН4.RU.1101 (АС Русский Регистр»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства","Действует. Решение о подтверждении действия СС № 21.0026.31 от 05.04.2023 г."
"ОГН4.RU.1101.B01034","П01592; ПП 02362; ПП 02363","Акционерное общество ГМС  Нефтемаш»","Российская Федерация, 625003, область Тюменская, г. Тюмень, ул. Военная, д. 44","+7(3452)79-19-30; girs@hms-neftemash.ru","Акционерное общество ГМС  Нефтемаш»","Российская Федерация, 625003, область Тюменская, г. Тюмень, ул. Военная, д. 44","+7(3452)79-19-30; girs@hms-neftemash.ru","ТИП ПРОДУКЦИИ - Станции насосные перекачки НПС, изготавливаемые по ТУ 3667-020-00137182-2002 с изм. 18","23.03.2021","22.03.2024","СМК+","СМК+","ОС Ассоциация по сертификации Русский Регистр», рег. № ОГН4.RU.1101 (АС Русский Регистр»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства",""
"ОГН4.RU.1101.B01035","П01593; ПП 02394","Акционерное общество ГМС  Нефтемаш»","Российская Федерация, 625003, область Тюменская, г. Тюмень, ул. Военная, д. 44","+7(3452)79-19-30; girs@hms-neftemash.ru","Акционерное общество ГМС  Нефтемаш»","Российская Федерация, 625003, область Тюменская, г. Тюмень, ул. Военная, д. 44","+7(3452)79-19-30; girs@hms-neftemash.ru","ТИП ПРОДУКЦИИ - Аппараты теплообменные пластинчатые, выпускаемые по ТУ 3612-072-00137182-2016 с изм. 8","23.03.2021","22.03.2024","СМК+","СМК+","ОС Ассоциация по сертификации Русский Регистр», рег. № ОГН4.RU.1101 (АС Русский Регистр»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства",""
"ОГН4.RU.1101.B01036","П01594; ПП 02365; ПП 02364","Акционерное общество ГМС  Нефтемаш»","Российская Федерация, 625003, область Тюменская, г. Тюмень, ул. Военная, д. 44","+7(3452)79-19-30; girs@hms-neftemash.ru","Акционерное общество ГМС  Нефтемаш»","Российская Федерация, 625003, область Тюменская, г. Тюмень, ул. Военная, д. 44","+7(3452)79-19-30; girs@hms-neftemash.ru","ТИП ПРОДУКЦИИ - Компрессорные установки, изготавливаемые по ТУ 3643-046-00137182-2012 с изм. 8","23.02.2021","22.03.2024","СМК+","СМК+","ОС Ассоциация по сертификации Русский Регистр», рег. № ОГН4.RU.1101 (АС Русский Регистр»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства",""
"ОГН4.RU.1101.B01037","П01595; ПП 02395","Акционерное общество ГМС  Нефтемаш»","Российская Федерация, 625003, область Тюменская, г. Тюмень, ул. Военная, д. 44","+7(3452)79-19-30; girs@hms-neftemash.ru","Акционерное общество ГМС  Нефтемаш»","Российская Федерация, 625003, область Тюменская, г. Тюмень, ул. Военная, д. 44","+7(3452)79-19-30; girs@hms-neftemash.ru","ТИП ПРОДУКЦИИ - Установки подготовки газа (УПТГ, БПТГ, УПТПГ), изготавливаемые по ТУ 28.25.14-080-00137182-2017 с изм. № 3","23.03.2021","22.03.2024","СМК+","СМК+","ОС Ассоциация по сертификации Русский Регистр», рег. № ОГН4.RU.1101 (АС Русский Регистр»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства",""
"ОГН4.RU.1101.B01038","П01596; ПП 02399","Акционерное общество ГМС  Нефтемаш»","Российская Федерация, 625003, область Тюменская, г. Тюмень, ул. Военная, д. 44","+7(3452)79-19-30; girs@hms-neftemash.ru","Акционерное общество ГМС  Нефтемаш»","Российская Федерация, 625003, область Тюменская, г. Тюмень, ул. Военная, д. 44","+7(3452)79-19-30; girs@hms-neftemash.ru","ТИП ПРОДУКЦИИ - Установки технологические блочные для нефтяной и газовой промышленности, изготавливаемые по ТУ 3647-035-00137182-2006 с изм. 19","23.03.2021","22.03.2024","СМК+","СМК+","ОС Ассоциация по сертификации Русский Регистр», рег. № ОГН4.RU.1101 (АС Русский Регистр»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства",""
"ОГН4.RU.1101.B01039","П01597; ПП 02396; ПП 02397","Акционерное общество ГМС  Нефтемаш»","Российская Федерация, 625003, область Тюменская, г. Тюмень, ул. Военная, д. 44","+7(3452)79-19-30; girs@hms-neftemash.ru","Акционерное общество ГМС  Нефтемаш»","Российская Федерация, 625003, область Тюменская, г. Тюмень, ул. Военная, д. 44","+7(3452)79-19-30; girs@hms-neftemash.ru","ТИП ПРОДУКЦИИ - Сосуды, аппарат и емкостное оборудование, выпускаемые по ТУ 25.29.10-094-00137182-2019 с изм. 6","23.03.2021","22.03.2024","СМК+","СМК+","ОС Ассоциация по сертификации Русский Регистр», рег. № ОГН4.RU.1101 (АС Русский Регистр»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства",""
"ОГН4.RU.1101.B01058","П01576; ПП 02304","Акционерное общество БАРРЕНС»","Российская Федерация, 197110, г. Санкт-Петербург, ул. Пионерская, 30, литера Б, помещение 205","+7(812)748-29-99; 495-99-99; office@barrens.ru","Акционерное общество БАРРЕНС»","Российская Федерация, 197110, г. Санкт-Петербург, ул. Пионерская, 30, литера Б, помещение 205","+7(812)748-29-99; 495-99-99; office@barrens.ru","ТИП ПРОДУКЦИИ - Дожимные компрессорные установки (ДКУ), изготавливаемые по ТУ 3643-006-11141005-2015 с изм. 1","22.03.2021","21.03.2024","СМК+","СМК+","ОС Ассоциация по сертификации Русский Регистр», рег. № ОГН4.RU.1101 (АС Русский Регистр»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства",""
"ОГН4.RU.1101.B01059","П01577; ПП 02305","Акционерное общество БАРРЕНС»","Российская Федерация, 197110, г. Санкт-Петербург, ул. Пионерская, 30, литера Б, помещение 205","+7(812)748-29-99; 495-99-99; office@barrens.ru","Акционерное общество БАРРЕНС»","Российская Федерация, 197110, г. Санкт-Петербург, ул. Пионерская, 30, литера Б, помещение 205","+7(812)748-29-99; 495-99-99; office@barrens.ru","ТИП ПРОДУКЦИИ - Азотные установки (АУ), изготавливаемые по ТУ 3643-005-11141005-2015 c изм. 1","22.03.2021","21.03.2024","СМК+","СМК+","ОС Ассоциация по сертификации Русский Регистр», рег. № ОГН4.RU.1101 (АС Русский Регистр»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства",""
"ОГН4.RU.1101.B01060","П01578; ПП 02306","Акционерное общество БАРРЕНС»","Российская Федерация, 197110, г. Санкт-Петербург, ул. Пионерская, 30, литера Б, помещение 205","+7(812)748-29-99; 495-99-99; office@barrens.ru","Акционерное общество БАРРЕНС»","Российская Федерация, 197110, г. Санкт-Петербург, ул. Пионерская, 30, литера Б, помещение 205","+7(812)748-29-99; 495-99-99; office@barrens.ru","ТИП ПРОДУКЦИИ - Автомобильные газонаполнительные компрессорные станции (АГНКС), изготавливаемые по ТУ 4575-004-11141005-2015 с изм. 1","22.03.2021","21.03.2024","СМК+","СМК+","ОС Ассоциация по сертификации Русский Регистр», рег. № ОГН4.RU.1101 (АС Русский Регистр»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства",""
"ОГН4.RU.1101.B01061","П02027; ПП 02360","Общество с ограниченной ответственностью Борисоглебское машиностроение» (ООО Борисоглебское машиностроение»)","Российская Федерация, 397340, Воронежская область, Поворинский район, село Пески, ул. Пролетарская, д. 59","+7(47376)3-29-90; 3-23-38; bormash@bormash.ru","Общество с ограниченной ответственностью Борисоглебское машиностроение» (ООО Борисоглебское машиностроение»)","Российская Федерация, 397340, Воронежская область, Поворинский район, село Пески, ул. Пролетарская, д. 59","+7(47376)3-29-90; 3-23-38; bormash@bormash.ru","ТИП ПРОДУКЦИИ - Аппараты воздушного охлаждения горизонтальные блочного типа, изготавливаемые по ТУ 3612-006-51712587-2011 с изм.1","25.03.2021","24.03.2024","СМК+","СМК+","ОС Ассоциация по сертификации Русский Регистр», рег. № ОГН4.RU.1101 (АС Русский Регистр»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства",""
"ОГН4.RU.1101.B01062","П02028; ПП 00661","Общество с ограниченной ответственностью Борисоглебское машиностроение» (ООО Борисоглебское машиностроение»)","Российская Федерация, 397340, Воронежская область, Поворинский район, село Пески, ул. Пролетарская, д. 59","+7(47376)3-29-90; 3-23-38; bormash@bormash.ru","Общество с ограниченной ответственностью Борисоглебское машиностроение» (ООО Борисоглебское машиностроение»)","Российская Федерация, 397340, Воронежская область, Поворинский район, село Пески, ул. Пролетарская, д. 59","+7(47376)3-29-90; 3-23-38; bormash@bormash.ru","ТИП ПРОДУКЦИИ - Аппараты емкостные горизонтальные и вертикальные объёмом до 500,0 м3, изготавливаемые по ТУ 3615-010-51712587-2015 с изм.1","25.03.2021","24.03.2024","СМК+","СМК+","ОС Ассоциация по сертификации Русский Регистр», рег. № ОГН4.RU.1101 (АС Русский Регистр»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства",""
"ОГН4.RU.1101.B01063","П02029; ПП 02358","Общество с ограниченной ответственностью Борисоглебское машиностроение» (ООО Борисоглебское машиностроение»)","Российская Федерация, 397340, Воронежская область, Поворинский район, село Пески, ул. Пролетарская, д. 59","+7(47376)3-29-90; 3-23-38; bormash@bormash.ru","Общество с ограниченной ответственностью Борисоглебское машиностроение» (ООО Борисоглебское машиностроение»)","Российская Федерация, 397340, Воронежская область, Поворинский район, село Пески, ул. Пролетарская, д. 59","+7(47376)3-29-90; 3-23-38; bormash@bormash.ru","ТИП ПРОДУКЦИИ - Аппараты воздушного охлаждения высокого давления типа АВГ-БМ и АВГ, изготавливаемые по ТУ 3612-012-51712587-2016 с изм.1","25.03.2021","24.03.2024","СМК+","СМК+","ОС Ассоциация по сертификации Русский Регистр», рег. № ОГН4.RU.1101 (АС Русский Регистр»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства",""
"ОГН4.RU.1101.B01064","П02030; ПП 02037","Общество с ограниченной ответственностью Борисоглебское машиностроение» (ООО Борисоглебское машиностроение»)","Российская Федерация, 397340, Воронежская область, Поворинский район, село Пески, ул. Пролетарская, д. 59","+7(47376)3-29-90; 3-23-38; bormash@bormash.ru","Общество с ограниченной ответственностью Борисоглебское машиностроение» (ООО Борисоглебское машиностроение»)","Российская Федерация, 397340, Воронежская область, Поворинский район, село Пески, ул. Пролетарская, д. 59","+7(47376)3-29-90; 3-23-38; bormash@bormash.ru","ТИП ПРОДУКЦИИ - Аппараты теплообменные кожухотрубчатые с плавающей головкой, кожухотрубчатые с U-образными трубами и трубные пучки к ним, изготавливаемые по ТУ 3612-023-00220302-01 с изм.9 и Дополнительным требованиям к техническим условиям ДТ-ТУ-023-024-100.00","25.03.2021","24.03.2024","СМК+","СМК+","ОС Ассоциация по сертификации Русский Регистр», рег. № ОГН4.RU.1101 (АС Русский Регистр»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства",""
"ОГН4.RU.1101.B01065","П02334; ПП 02038","Общество с ограниченной ответственностью Борисоглебское машиностроение» (ООО Борисоглебское машиностроение»)","Российская Федерация, 397340, Воронежская область, Поворинский район, село Пески, ул. Пролетарская, д. 59","+7(47376)3-29-90; 3-23-38; bormash@bormash.ru","Общество с ограниченной ответственностью Борисоглебское машиностроение» (ООО Борисоглебское машиностроение»)","Российская Федерация, 397340, Воронежская область, Поворинский район, село Пески, ул. Пролетарская, д. 59","+7(47376)3-29-90; 3-23-38; bormash@bormash.ru","ТИП ПРОДУКЦИИ - Аппараты теплообменные кожухотрубчатые с неподвижными трубными решетками и кожухотрубчатые с температурным компенсатором на кожухе, изготавливаемые по ТУ 3612-024-00220302-02 с изм.8 и Дополнительным требованиям к техническим условиям ДТ-ТУ-023-024-100.00","25.03.2021","24.03.2024","СМК+","СМК+","ОС Ассоциация по сертификации Русский Регистр», рег. № ОГН4.RU.1101 (АС Русский Регистр»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства",""
"ОГН4.RU.1101.B01066","П02355; ПП 02039","Общество с ограниченной ответственностью Борисоглебское машиностроение» (ООО Борисоглебское машиностроение»)","Российская Федерация, 397340, Воронежская область, Поворинский район, село Пески, ул. Пролетарская, д. 59","+7(47376)3-29-90; 3-23-38; bormash@bormash.ru","Общество с ограниченной ответственностью Борисоглебское машиностроение» (ООО Борисоглебское машиностроение»)","Российская Федерация, 397340, Воронежская область, Поворинский район, село Пески, ул. Пролетарская, д. 59","+7(47376)3-29-90; 3-23-38; bormash@bormash.ru","ТИП ПРОДУКЦИИ - Аппараты теплообменные кожухотрубчатые, трубные пучки к ним и теплообменники труба в трубе», изготавливаемые по ТУ 3612-100-00220302-2005 с изм.5, Дополнительные требованиям к техническим условиям ДТ-ТУ-023-024-100.00","25.03.2021","24.03.2024","СМК+","СМК+","ОС Ассоциация по сертификации Русский Регистр», рег. № ОГН4.RU.1101 (АС Русский Регистр»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства",""
"ОГН4.RU.1101.B01067","П01579; ПП 02359","Общество с ограниченной ответственностью Борисоглебское машиностроение» (ООО Борисоглебское машиностроение»)","Российская Федерация, 397340, Воронежская область, Поворинский район, село Пески, ул. Пролетарская, д. 59","+7(47376)3-29-90; 3-23-38; bormash@bormash.ru","Общество с ограниченной ответственностью Борисоглебское машиностроение» (ООО Борисоглебское машиностроение»)","Российская Федерация, 397340, Воронежская область, Поворинский район, село Пески, ул. Пролетарская, д. 59","+7(47376)3-29-90; 3-23-38; bormash@bormash.ru","ТИП ПРОДУКЦИИ - Аппараты воздушного охлаждения на условное давление до 16 МПа, изготавливаемые по ТУ 3612-127-00220302-2007, Дополнительным требованиям к техническим условиям ДТ-ТУ-127.00","25.03.2021","24.03.2024","СМК+","СМК+","ОС Ассоциация по сертификации Русский Регистр», рег. № ОГН4.RU.1101 (АС Русский Регистр»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства",""
"ОГН4.RU.1101.B01069","П01574; ПП 02297; ПП 02298","Общество с ограниченной ответственностью Научно-производственное предприятие Авиагаз-Союз+» (ООО НПП Авиагаз-Союз+»)","Российская Федерация, 420088, Республика Татарстан, г. Казань, ул. Журналистов, д. 54, офис 303","+7(843)211-53-22; 570-70-82; aviagaz@agrs.ru","Общество с ограниченной ответственностью Научно-производственное предприятие Авиагаз-Союз+» (ООО НПП Авиагаз-Союз+»)","Российская Федерация, 420088, Республика Татарстан, г. Казань, ул. Журналистов, д. 54, офис 303","+7(843)211-53-22; 570-70-82; aviagaz@agrs.ru","ТИП ПРОДУКЦИИ - Установки подготовки газа (УПГ), изготавливаемые по ТУ 3647-028-58651328-2019 с изм. 1","22.03.2021","21.03.2024","СМК+","СМК+","ОС Ассоциация по сертификации Русский Регистр», рег. № ОГН4.RU.1101 (АС Русский Регистр»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства","Возобновлен с 07.09.2023. Решение № 23.0247.30 от 07.09.2023.Приостановлен до 19.09.2023. Решение № 23.0004.30 от 20.03.2023"
"ОГН4.RU.1101.B01070","П02395; ПП 02265","Общество с ограниченной ответственностью Научно-производственное предприятие Авиагаз-Союз+» (ООО НПП Авиагаз-Союз+»)","Российская Федерация, 420088, Республика Татарстан, г. Казань, ул. Журналистов, д. 54, офис 303","+7(843)211-53-22; 570-70-82; aviagaz@agrs.ru","Общество с ограниченной ответственностью Научно-производственное предприятие Авиагаз-Союз+» (ООО НПП Авиагаз-Союз+»)","Российская Федерация, 420088, Республика Татарстан, г. Казань, ул. Журналистов, д. 54, офис 303","+7(843)211-53-22; 570-70-82; aviagaz@agrs.ru","ТИП ПРОДУКЦИИ - Подогреватели газа трубные автоматические (ПГТА), изготавливаемые по ТУ 3612-010-58651328-2005 с изм. 3","22.03.2021","21.03.2024","СМК+","СМК+","ОС Ассоциация по сертификации Русский Регистр», рег. № ОГН4.RU.1101 (АС Русский Регистр»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства","Возобновлен с 07.09.2023. Решение № 23.0247.30 от 07.09.2023.Приостановлен до 19.09.2023. Решение № 23.0004.30 от 20.03.2023"
"ОГН4.RU.1101.B01071","П02396; ПП 02299","Общество с ограниченной ответственностью Научно-производственное предприятие Авиагаз-Союз+» (ООО НПП Авиагаз-Союз+»)","Российская Федерация, 420088, Республика Татарстан, г. Казань, ул. Журналистов, д. 54, офис 303","+7(843)211-53-22; 570-70-82; aviagaz@agrs.ru","Общество с ограниченной ответственностью Научно-производственное предприятие Авиагаз-Союз+» (ООО НПП Авиагаз-Союз+»)","Российская Федерация, 420088, Республика Татарстан, г. Казань, ул. Журналистов, д. 54, офис 303","+7(843)211-53-22; 570-70-82; aviagaz@agrs.ru","ТИП ПРОДУКЦИИ - Блоки подогрева газа (БПГ), изготавливаемые по ТУ 3612-026-58651328-2017 с изм. 2","22.03.2021","21.03.2024","СМК+","СМК+","ОС Ассоциация по сертификации Русский Регистр», рег. № ОГН4.RU.1101 (АС Русский Регистр»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства","Возобновлен с 07.09.2023. Решение № 23.0247.30 от 07.09.2023.Приостановлен до 19.09.2023. Решение № 23.0004.30 от 20.03.2023"
"ОГН4.RU.1101.B01072","П02397; ПП 02300","Общество с ограниченной ответственностью Научно-производственное предприятие Авиагаз-Союз+» (ООО НПП Авиагаз-Союз+»)","Российская Федерация, 420088, Республика Татарстан, г. Казань, ул. Журналистов, д. 54, офис 303","+7(843)211-53-22; 570-70-82; aviagaz@agrs.ru","Общество с ограниченной ответственностью Научно-производственное предприятие Авиагаз-Союз+» (ООО НПП Авиагаз-Союз+»)","Российская Федерация, 420088, Республика Татарстан, г. Казань, ул. Журналистов, д. 54, офис 303","+7(843)211-53-22; 570-70-82; aviagaz@agrs.ru","ТИП ПРОДУКЦИИ - Блоки одоризации, изготавливаемые по ТУ 3696-031-58651328-2017 с изм. 2","22.03.2021","21.03.2024","СМК+","СМК+","ОС Ассоциация по сертификации Русский Регистр», рег. № ОГН4.RU.1101 (АС Русский Регистр»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства","Возобновлен с 07.09.2023. Решение № 23.0247.30 от 07.09.2023.Приостановлен до 19.09.2023. Решение № 23.0004.30 от 20.03.2023"
"ОГН4.RU.1101.B01073","П01575; ПП 02301; ПП 02302; ПП 02303","Общество с ограниченной ответственностью Научно-производственное предприятие Авиагаз-Союз+» (ООО НПП Авиагаз-Союз+»)","Российская Федерация, 420088, Республика Татарстан, г. Казань, ул. Журналистов, д. 54, офис 303","+7(843)211-53-22; 570-70-82; aviagaz@agrs.ru","Общество с ограниченной ответственностью Научно-производственное предприятие Авиагаз-Союз+» (ООО НПП Авиагаз-Союз+»)","Российская Федерация, 420088, Республика Татарстан, г. Казань, ул. Журналистов, д. 54, офис 303","+7(843)211-53-22; 570-70-82; aviagaz@agrs.ru","ТИП ПРОДУКЦИИ - Автоматические газораспределительные станции (АГРС, АГРС-НП), изготавливаемые по ТУ 3647-015-58651328-2004 с изм. 5","22.03.2021","21.03.2024","СМК+","СМК+","ОС Ассоциация по сертификации Русский Регистр», рег. № ОГН4.RU.1101 (АС Русский Регистр»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства","Возобновлен с 07.09.2023. Решение № 23.0247.30 от 07.09.2023.Приостановлен до 19.09.2023. Решение № 23.0004.30 от 20.03.2023"
"ОГН4.RU.1101.B01074","П02372; ПП 02324","Общество с ограниченной ответственностью Компрессор Газ»","Российская Федерация, 194044, г. Санкт-Петербург, пр. Большой Сампсониевский, д. 64","+7(812)295-30-27; 295-10-02; office@compressor-gaz.ru","Общество с ограниченной ответственностью Компрессор Газ»","Российская Федерация, 194044, г. Санкт-Петербург, пр. Большой Сампсониевский, д. 64","+7(812)295-30-27; 295-10-02; office@compressor-gaz.ru","ТИП ПРОДУКЦИИ - Дожимная компрессорная установка (ДКУ), изготавливаемая по ТУ 3643-012-07533053-2010 с изм. № 2","23.03.2021","22.03.2024","СМК+","СМК+","ОС Ассоциация по сертификации Русский Регистр», рег. № ОГН4.RU.1101 (АС Русский Регистр»)","Технологическое оборудование и материалы, энергетическое оборудование, приборы и средства автоматизации, вычислительная техника, программные средства",""
